영화,내 별점(y),평균별점,평가자수,등급,장르,국가,상영시간,년도
착신아리,1.0,2.57139,80554.0,12세 관람가,공포,일본,112.0,2003.0
화산고,1.0,2.42466,127696.0,12세 관람가,액션,한국,121.0,2001.0
오션스 트웰브,2.0,3.64181,91838.0,12세 관람가,액션,"미국, 오스트레일리아",125.0,2004.0
차우,2.0,2.52071,97934.0,12세 관람가,스릴러,한국,121.0,2009.0
색즉시공 시즌 2,1.0,2.4344,85886.0,청소년 관람불가,코미디,한국,115.0,2007.0
남자사용설명서,2.0,2.87442,112418.0,15세 관람가,코미디,한국,116.0,2012.0
흡혈형사 나도열,1.0,2.17266,63552.0,12세 관람가,코미디,한국,110.0,2006.0
블러드 다이아몬드,2.0,3.72187,79401.0,청소년 관람불가,액션,"미국, 독일",142.0,2006.0
우리 형,2.0,3.32089,115880.0,15세 관람가,드라마,한국,112.0,2004.0
주먹이 운다,3.0,3.46737,89591.0,15세 관람가,드라마,한국,134.0,2005.0
장고:분노의 추적자,4.0,3.80887,101778.0,청소년 관람불가,액션,미국,165.0,2012.0
킹콩을 들다,3.0,3.21284,94794.0,전체 관람가,코미디,한국,120.0,2009.0
천녀유혼,4.0,3.84526,87471.0,15세 관람가,판타지,홍콩,98.0,1987.0
홀리데이,1.0,3.31544,82793.0,청소년 관람불가,범죄,한국,120.0,2005.0
비포 선셋,4.0,3.95738,107748.0,15세 관람가,로맨스/멜로,미국,79.0,2004.0
머니볼,3.0,3.74997,113721.0,12세 관람가,드라마,미국,132.0,2011.0
스타쉽 트루퍼스,4.0,3.58555,97223.0,청소년 관람불가,SF,미국,129.0,1997.0
사생결단,3.0,3.53615,87827.0,청소년 관람불가,범죄,한국,117.0,2006.0
토탈 리콜,4.0,3.36722,117000.0,15세 관람가,SF,"미국, 캐나다",118.0,2012.0
님은 먼곳에,2.0,3.04446,116238.0,15세 관람가,드라마,한국,126.0,2008.0
위대한 개츠비,4.0,3.72026,188436.0,15세 관람가,드라마,"미국, 오스트레일리아",141.0,2013.0
지구를 지켜라!,3.0,3.40216,120005.0,청소년 관람불가,스릴러,한국,117.0,2003.0
쥬라기 공원 2 - 잃어버린 세계,4.0,3.62094,138152.0,전체 관람가,SF,미국,134.0,1997.0
에반 올마이티,3.0,3.36074,132547.0,전체 관람가,코미디,미국,95.0,2007.0
복면 달호,1.0,2.89311,142058.0,12세 관람가,코미디,한국,114.0,2007.0
쏘우 2,2.0,3.19572,134768.0,청소년 관람불가,공포,미국,92.0,2005.0
용의자 X의 헌신,2.0,3.46146,126867.0,12세 관람가,스릴러,일본,128.0,2008.0
코요테 어글리,2.0,3.63367,136793.0,15세 관람가,로맨틱 코미디,미국,100.0,2000.0
프로메테우스,1.0,3.52886,152224.0,청소년 관람불가,SF,미국,123.0,2012.0
스튜어트 리틀,3.0,3.54314,188837.0,전체 관람가,코미디,미국,82.0,1999.0
아이스 에이지,3.0,3.59548,196892.0,전체 관람가,애니메이션,미국,81.0,2002.0
행복을 찾아서,3.0,3.83216,160457.0,전체 관람가,드라마,미국,117.0,2006.0
주유소 습격사건,3.0,3.28982,196738.0,청소년 관람불가,코미디,한국,117.0,1999.0
아마겟돈,4.0,3.84287,186369.0,12세 관람가,SF,미국,145.0,1998.0
유령 신부,2.0,3.54246,212326.0,전체 관람가,애니메이션,미국,77.0,2005.0
쿵푸 허슬,4.0,3.57502,212879.0,15세 관람가,코미디,중국,101.0,2004.0
김종욱 찾기,3.0,3.45187,231072.0,12세 관람가,로맨틱 코미디,한국,112.0,2010.0
스텝 업,3.0,3.7541,275011.0,12세 관람가,드라마,미국,103.0,2006.0
토이 스토리 2,4.0,3.90385,279504.0,전체 관람가,애니메이션,미국,92.0,1999.0
마스크,3.0,3.76103,287657.0,,코미디,미국,97.0,1994.0
나 홀로 집에 2 - 뉴욕을 헤매다,4.0,3.84159,355934.0,전체 관람가,코미디,미국,115.0,1992.0
라이온 킹,3.0,4.09618,327346.0,전체 관람가,애니메이션,미국,89.0,1994.0
쿵푸팬더 2,1.0,3.56948,314622.0,전체 관람가,애니메이션,미국,91.0,2011.0
라따뚜이,2.0,3.90903,359023.0,전체 관람가,애니메이션,미국,115.0,2007.0
슈렉,2.0,3.77229,402960.0,전체 관람가,애니메이션,미국,90.0,2001.0
캡틴 아메리카: 윈터 솔져,4.0,3.90476,227925.0,15세 관람가,액션,미국,136.0,2014.0
