영화,내 별점(y),평균별점,이동진 별점,평가자수,보고싶어요수,코멘트수,감독,배우,등급,장르,국가,상영시간,년도,별점분포,이동진 코멘트
예스 맨,4.0,3.54791,,"178,410","10,080","1,008",페이튼 리드,"[짐 캐리, 주이 디샤넬, 브래들리 쿠퍼]",15세 관람가,코미디,미국,104.0,2008.0,"{""1"":544,""2"":3124,""3"":1158,""4"":10868,""5"":6211,""6"":49148,""7"":21236,""8"":58424,""9"":6783,""10"":20914}",
공모자들,2.0,3.36338,,"181,826","4,366",983,김홍선,"[임창정, 최 다니엘, 오달수]",청소년 관람불가,범죄,한국,111.0,2012.0,"{""1"":1759,""2"":7028,""3"":2443,""4"":17793,""5"":8513,""6"":49106,""7"":18632,""8"":49502,""9"":5395,""10"":21655}",
비스티 보이즈,3.0,2.90921,2.5,"81,513","3,098",640,윤종빈,"[하정우, 윤계상, 윤진서]",청소년 관람불가,범죄,한국,123.0,2008.0,"{""1"":1447,""2"":7289,""3"":1946,""4"":14278,""5"":5035,""6"":23132,""7"":6921,""8"":15209,""9"":1381,""10"":4875}",무엇을 위한 디테일인가.
17 어게인,3.0,3.56401,,"121,630","7,435",832,버 스티어스,"[잭 에프론, 레슬리 만, 토머스 레넌]",,로맨틱 코미디,미국,102.0,2009.0,"{""1"":508,""2"":2993,""3"":989,""4"":7491,""5"":4540,""6"":29589,""7"":15488,""8"":37986,""9"":5432,""10"":16614}",
미스 리틀 선샤인,4.0,3.8692,,"56,992","13,873","1,114",조나단 데이턴,"[스티브 카렐, 토니 콜렛, 그렉 키니어]",15세 관람가,코미디,미국,102.0,2006.0,"{""1"":120,""2"":1463,""3"":181,""4"":2349,""5"":803,""6"":8660,""7"":5756,""8"":19978,""9"":4872,""10"":12810}",
눈에는 눈 이에는 이,3.0,3.09769,,"71,307","1,797",213,곽경택,"[한석규, 차승원, 김지석]",15세 관람가,스릴러,한국,101.0,2008.0,"{""1"":501,""2"":3489,""3"":977,""4"":10322,""5"":3717,""6"":25816,""7"":5617,""8"":15308,""9"":819,""10"":4741}",
품행 제로,2.0,3.12293,,"137,917","2,256",586,조근식,"[류승범, 임은경, 공효진]",15세 관람가,코미디,한국,99.0,2002.0,"{""1"":1450,""2"":6826,""3"":2355,""4"":18420,""5"":7675,""6"":44787,""7"":13693,""8"":31154,""9"":2218,""10"":9339}",
알.이.씨,2.0,3.36064,,"81,816","2,907",707,하우메 발라게로,"[마누엘라 벨라스코, 하비에르 보텟, 페란 떼라사]",청소년 관람불가,공포,스페인,78.0,2007.0,"{""1"":974,""2"":4642,""3"":1075,""4"":8215,""5"":3202,""6"":18991,""7"":8473,""8"":22535,""9"":3116,""10"":10593}",
싸움의 기술,3.0,3.08136,,"198,248","1,503",537,신한솔,"[백윤식, 재희, 박기웅]",15세 관람가,코미디,한국,95.0,2005.0,"{""1"":2212,""2"":9703,""3"":4257,""4"":28148,""5"":12823,""6"":64014,""7"":19001,""8"":42163,""9"":3119,""10"":12808}",
서유기 - 월광보합,5.0,3.9259,,"63,298","1,924",518,유진위,"[주성치, 오맹달, 나가영]",15세 관람가,코미디,홍콩,88.0,1994.0,"{""1"":340,""2"":2858,""3"":270,""4"":3064,""5"":783,""6"":8584,""7"":3704,""8"":18465,""9"":3550,""10"":21680}",
킬 빌 - 2부,5.0,3.65659,,"127,951","4,824",927,쿠엔틴 타란티노,"[우마 서먼, 데이빗 캐러딘, 대릴 한나]",청소년 관람불가,액션,미국,138.0,2004.0,"{""1"":655,""2"":3187,""3"":947,""4"":8202,""5"":3371,""6"":27744,""7"":13194,""8"":41047,""9"":7054,""10"":22550}",
억셉티드,4.0,3.67047,,"57,877","7,270",885,스티브 핑크,"[저스틴 롱, 애덤 허쉬만, 컬럼버스 숏]",,코미디,미국,90.0,2006.0,"{""1"":160,""2"":1788,""3"":330,""4"":3347,""5"":1486,""6"":11817,""7"":6622,""8"":18903,""9"":3392,""10"":10032}",
13 구역,2.0,3.71408,,"155,295","6,262",658,피에르 모렐,"[시릴 라파엘리, 데이빗 벨, 비비 나세리]",15세 관람가,액션,프랑스,84.0,2004.0,"{""1"":448,""2"":2464,""3"":743,""4"":7259,""5"":3700,""6"":35850,""7"":16871,""8"":54104,""9"":6245,""10"":27611}",
"장화, 홍련",5.0,3.18378,,"228,160","4,192","1,250",김지운,"[임수정, 문근영, 염정아]",12세 관람가,공포,한국,118.0,2003.0,"{""1"":3285,""2"":13172,""3"":4130,""4"":28545,""5"":10743,""6"":62381,""7"":23717,""8"":55504,""9"":8282,""10"":18401}",
썸머 워즈,4.0,3.64625,3.5,"136,954","11,420","1,508",호소다 마모루,"[카미키 류노스케, 사쿠라바 나나미, 나카 리이사]",전체 관람가,애니메이션,일본,113.0,2009.0,"{""1"":774,""2"":3333,""3"":1205,""4"":8179,""5"":4789,""6"":28585,""7"":16403,""8"":42447,""9"":7102,""10"":24137}",호소다 마모루의 여름 안에서 살고 싶다.
첫 키스만 50번째,3.0,3.72445,,"182,786","15,901","1,211",피터 시걸,"[아담 샌들러, 드류 베리모어, 숀 애스틴]",15세 관람가,로맨틱 코미디,미국,99.0,2004.0,"{""1"":527,""2"":2940,""3"":885,""4"":8498,""5"":4572,""6"":40635,""7"":20294,""8"":62362,""9"":9844,""10"":32229}",
여배우들,1.0,2.69881,,"138,449","2,536",587,이재용,"[김옥빈, 윤여정, 이미숙]",12세 관람가,드라마,한국,104.0,2009.0,"{""1"":3234,""2"":14500,""3"":4692,""4"":28075,""5"":10693,""6"":41897,""7"":10405,""8"":18731,""9"":1174,""10"":5048}",
복수는 나의 것,3.0,3.68706,,"93,311","12,367","1,326",박찬욱,"[송강호, 신하균, 배두나]",청소년 관람불가,스릴러,한국,120.0,2002.0,"{""1"":347,""2"":2791,""3"":420,""4"":5634,""5"":1761,""6"":19640,""7"":8794,""8"":31280,""9"":6539,""10"":16105}",
엑스맨,3.0,3.8104,,"224,275","4,617",727,브라이언 싱어,"[패트릭 스튜어트, 휴 잭맨, 이안 맥켈런]",12세 관람가,판타지,미국,104.0,2000.0,"{""1"":448,""2"":2410,""3"":706,""4"":7662,""5"":4161,""6"":48750,""7"":24004,""8"":81196,""9"":9280,""10"":45658}",
레지던트 이블,3.0,3.72377,,"157,786","3,264",590,폴 W.S. 앤더슨,"[밀라 요보비치, 미셀 로드리게즈, 에릭 마비우스]",청소년 관람불가,공포,"독일, 미국, 영국",100.0,2002.0,"{""1"":671,""2"":3806,""3"":854,""4"":8807,""5"":3593,""6"":34765,""7"":14088,""8"":51062,""9"":5997,""10"":34143}",
파라노말 액티비티,2.0,3.09261,,"177,563","2,599",950,오렌 펠리,"[케이티 피더스턴, 미카 슬로앳, 애슐리 팰머]",청소년 관람불가,공포,미국,85.0,2007.0,"{""1"":4576,""2"":15363,""3"":3875,""4"":22830,""5"":8515,""6"":43684,""7"":16307,""8"":38943,""9"":5172,""10"":18298}",
유주얼 서스펙트,3.0,4.1993,,"180,227","29,191","1,815",브라이언 싱어,"[케빈 스페이시, 가브리엘 번, 스티븐 볼드윈]",청소년 관람불가,스릴러,"미국, 독일",106.0,1995.0,"{""1"":351,""2"":2359,""3"":361,""4"":3589,""5"":1333,""6"":17293,""7"":10389,""8"":59361,""9"":16840,""10"":68351}",
쥬라기 공원 3,3.0,3.39318,,"108,315","1,132",359,조 존스톤,"[마이클 제터, 샘 닐, 윌리암 H. 머시]",12세 관람가,SF,미국,92.0,2001.0,"{""1"":618,""2"":3477,""3"":1204,""4"":10339,""5"":4930,""6"":32512,""7"":9776,""8"":28856,""9"":2471,""10"":14132}",
트와일라잇,3.0,3.50983,,"418,924","3,077","1,364",캐서린 하드윅,"[로버트 패틴슨, 크리스틴 스튜어트, 피터 파시넬리]",12세 관람가,판타지,미국,121.0,2008.0,"{""1"":7009,""2"":19579,""3"":6624,""4"":36507,""5"":16727,""6"":89463,""7"":33573,""8"":103656,""9"":13648,""10"":92138}",
더 문,4.0,3.69218,,"48,849","12,117",916,던칸 존스,"[샘 록웰, 케빈 스페이시, 말콤 스튜어트]",12세 관람가,SF,영국,97.0,2009.0,"{""1"":122,""2"":1533,""3"":196,""4"":2869,""5"":853,""6"":9515,""7"":5135,""8"":17457,""9"":3163,""10"":8006}",
영화는 영화다,2.0,3.30617,3.5,"150,709","4,574",603,장훈,"[소지섭, 강지환, 홍수현]",청소년 관람불가,액션,한국,112.0,2008.0,"{""1"":1346,""2"":5507,""3"":2255,""4"":15334,""5"":7513,""6"":44156,""7"":15957,""8"":40407,""9"":3846,""10"":14388}",거칠고 강렬한 동물적 에너지.
러브 & 드럭스,4.0,3.28458,,"97,676","7,459",574,에드워드 즈윅,"[제이크 질렌할, 앤 해서웨이, 가브리엘 매치]",청소년 관람불가,로맨틱 코미디,미국,112.0,2010.0,"{""1"":485,""2"":3396,""3"":1132,""4"":10246,""5"":4834,""6"":31365,""7"":10945,""8"":24822,""9"":2125,""10"":8326}",
그녀를 믿지 마세요,1.0,2.99258,3.5,"181,979","2,477",601,배형준,"[김하늘, 강동원, 임하룡]",12세 관람가,로맨틱 코미디,한국,115.0,2004.0,"{""1"":2401,""2"":11252,""3"":4214,""4"":28276,""5"":11873,""6"":59610,""7"":16851,""8"":34518,""9"":2289,""10"":10695}",이 영화는 믿으세요.
빨간 모자의 진실,2.0,3.05978,,"144,831","1,052",426,코리 에드워즈,"[앤 해서웨이, 강혜정, 글렌 클로즈]",전체 관람가,애니메이션,미국,80.0,2005.0,"{""1"":2002,""2"":8323,""3"":3415,""4"":20772,""5"":9622,""6"":45587,""7"":13367,""8"":27774,""9"":2536,""10"":11433}",
늑대의 유혹,2.0,2.7772,,"299,586","1,884","1,066",김태균,"[강동원, 조한선, 이청아]",12세 관람가,로맨스/멜로,한국,113.0,2004.0,"{""1"":10034,""2"":34190,""3"":10134,""4"":55424,""5"":19020,""6"":81644,""7"":16299,""8"":45254,""9"":3217,""10"":24370}",
몬스터 주식회사,4.0,3.98265,,"311,645","8,193","1,184",데이빗 실버맨,"[김진태, 이인성, 김옥경]",전체 관람가,애니메이션,미국,92.0,2001.0,"{""1"":603,""2"":3233,""3"":915,""4"":8567,""5"":4707,""6"":49420,""7"":27569,""8"":110151,""9"":20650,""10"":85830}",
이웃집 토토로,2.0,4.03615,,"397,909","11,836","1,545",미야자키 하야오,"[체릴 체이스, 라라 코디, 나탈리 코어]",전체 관람가,애니메이션,일본,87.0,1988.0,"{""1"":686,""2"":3252,""3"":1102,""4"":9834,""5"":5407,""6"":60537,""7"":31679,""8"":138958,""9"":25588,""10"":120866}",
헝거게임: 판엠의 불꽃,3.0,3.68782,,"219,184","8,557","2,055",게리 로스,"[제니퍼 로렌스, 조쉬 허처슨, 리암 헴스워스]",15세 관람가,판타지,미국,142.0,2012.0,"{""1"":976,""2"":4794,""3"":1571,""4"":12545,""5"":6712,""6"":44753,""7"":27157,""8"":66652,""9"":14015,""10"":40009}",
시카고,2.0,3.78464,,"100,484","12,632",707,롭 마샬,"[르네 젤위거, 캐서린 제타-존스, 리차드 기어]",15세 관람가,드라마,"미국, 캐나다",113.0,2002.0,"{""1"":291,""2"":2212,""3"":386,""4"":4668,""5"":1724,""6"":19797,""7"":9466,""8"":35404,""9"":6202,""10"":20334}",
아이 엠 넘버 포,3.0,3.0511,,"120,355","2,408",664,D.J. 카루소,"[알렉스 페티퍼, 티모시 올리펀트, 테레사 팔머]",12세 관람가,SF,미국,103.0,2011.0,"{""1"":1725,""2"":7316,""3"":2914,""4"":18406,""5"":7763,""6"":36027,""7"":10249,""8"":24357,""9"":1890,""10"":9708}",
클릭,4.0,3.41838,,"206,713","5,845","1,093",프랭크 코라치,"[아담 샌들러, 케이트 베킨세일, 크리스토퍼 월켄]",12세 관람가,코미디,미국,107.0,2006.0,"{""1"":1037,""2"":5598,""3"":2236,""4"":18693,""5"":8911,""6"":59357,""7"":22530,""8"":57697,""9"":7141,""10"":23513}",
소림축구,3.0,3.49179,,"301,028",791,"1,284",주성치,"[주성치, 조미, 오맹달]",15세 관람가,코미디,"홍콩, 중국",87.0,2001.0,"{""1"":2244,""2"":10261,""3"":3023,""4"":23784,""5"":10582,""6"":75239,""7"":31383,""8"":92049,""9"":9900,""10"":42563}",
작전,3.0,3.19586,,"117,278","1,401",398,이호재,"[박용하, 김민정, 김무열]",15세 관람가,드라마,한국,119.0,2009.0,"{""1"":959,""2"":5287,""3"":1757,""4"":14824,""5"":6033,""6"":37246,""7"":10840,""8"":28568,""9"":2204,""10"":9560}",
스윙걸즈,3.0,3.5283,,"116,273","3,641",570,야구치 시노부,"[타케나카 나오토, 우에노 주리, 히라오카 유타]",12세 관람가,코미디,일본,103.0,2004.0,"{""1"":587,""2"":4034,""3"":797,""4"":7874,""5"":3126,""6"":28798,""7"":12638,""8"":39559,""9"":3975,""10"":14885}",
데스티네이션,2.0,3.37924,,"156,705","1,619",482,제임스 왕,"[데본 사와, 알리 라터, 커 스미스]",청소년 관람불가,공포,미국,97.0,2000.0,"{""1"":1420,""2"":7802,""3"":1511,""4"":14840,""5"":5041,""6"":42951,""7"":14435,""8"":44638,""9"":3576,""10"":20491}",
새벽의 저주,4.0,3.6578,,"156,910","5,377","1,130",잭 스나이더,"[사라 폴리, 빙 라메스, 제이크 웨버]",청소년 관람불가,공포,미국,100.0,2004.0,"{""1"":1942,""2"":8392,""3"":1190,""4"":9364,""5"":3498,""6"":28222,""7"":13049,""8"":47302,""9"":7888,""10"":36063}",
로맨틱 홀리데이,3.0,3.68603,,"135,213","13,387",824,낸시 마이어스,"[카메론 디아즈, 케이트 윈슬렛, 주드 로]",15세 관람가,로맨틱 코미디,미국,135.0,2006.0,"{""1"":351,""2"":2569,""3"":629,""4"":6842,""5"":3486,""6"":31997,""7"":14539,""8"":45453,""9"":6179,""10"":23168}",
그 여자 작사 그 남자 작곡,3.0,3.78346,,"256,477","19,448",995,마크 로렌스,"[드류 베리모어, 휴 그랜트, 셔만 알퍼트]",12세 관람가,로맨틱 코미디,미국,103.0,2007.0,"{""1"":519,""2"":3053,""3"":940,""4"":9400,""5"":5329,""6"":55301,""7"":27264,""8"":94988,""9"":12464,""10"":47219}",
무간도,5.0,4.04031,,"140,626","12,024","1,018",맥조휘,"[양조위, 유덕화, 황추생]",12세 관람가,범죄,홍콩,100.0,2002.0,"{""1"":328,""2"":3132,""3"":368,""4"":4805,""5"":1309,""6"":18184,""7"":8172,""8"":48174,""9"":10362,""10"":45792}",
쏘우,1.0,3.51588,,"279,150","2,679","1,364",제임스 완,"[리 워넬, 켄 렁, 캐리 엘위스]",청소년 관람불가,공포,미국,100.0,2004.0,"{""1"":6499,""2"":21484,""3"":2753,""4"":20216,""5"":6204,""6"":50172,""7"":19178,""8"":77282,""9"":13937,""10"":61425}",
모범시민,3.0,3.60439,,"184,493","6,358",863,F. 게리 그레이,"[제이미 폭스, 제라드 버틀러, 비올라 데이비스]",15세 관람가,액션,미국,107.0,2009.0,"{""1"":555,""2"":3552,""3"":1042,""4"":12139,""5"":5974,""6"":46576,""7"":18584,""8"":61106,""9"":7329,""10"":27636}",
28일 후,4.0,3.74457,4.0,"174,837","7,806",977,대니 보일,"[킬리언 머피, 나오미 해리스, 크리스토퍼 에클리스턴]",청소년 관람불가,공포,"네덜란드, 영국, 미국",113.0,2002.0,"{""1"":1061,""2"":5407,""3"":976,""4"":9617,""5"":3657,""6"":33865,""7"":14918,""8"":57674,""9"":7897,""10"":39765}","타인은 지옥, 그 지옥의 가장 뜨거운 불은 생존본능."
연애의 목적,4.0,3.23468,,"173,824","2,987",814,한재림,"[박해일, 강혜정, 박그리나]",청소년 관람불가,로맨틱 코미디,한국,121.0,2005.0,"{""1"":1266,""2"":7208,""3"":2187,""4"":21116,""5"":7465,""6"":56200,""7"":16414,""8"":44064,""9"":3284,""10"":14620}",
화이트 칙스,2.0,3.70081,,"290,383","5,096","1,236",키넌 아이버리 웨이언스,"[존 허드, 숀 웨이언스, 마론 웨이언스]",15세 관람가,코미디,미국,108.0,2004.0,"{""1"":1881,""2"":9305,""3"":2516,""4"":18700,""5"":8019,""6"":55691,""7"":25223,""8"":90766,""9"":13031,""10"":65251}",
인 타임,2.0,3.58333,,"271,174","7,978","2,428",앤드류 니콜,"[아만다 사이프리드, 저스틴 팀버레이크, 킬리언 머피]",12세 관람가,SF,미국,109.0,2011.0,"{""1"":1218,""2"":6633,""3"":2775,""4"":20684,""5"":11582,""6"":61786,""7"":28095,""8"":79143,""9"":13155,""10"":46103}",
알 포인트,1.0,3.20696,,"241,097","3,332","1,083",공수창,"[감우성, 손병호, 박원상]",15세 관람가,공포,한국,106.0,2004.0,"{""1"":3117,""2"":16197,""3"":3377,""4"":30276,""5"":9320,""6"":64315,""7"":22183,""8"":61801,""9"":7589,""10"":22922}",
아는 여자,4.0,3.55275,4.0,"161,057","7,255","1,094",장진,"[정재영, 이나영, 박선우]",15세 관람가,로맨틱 코미디,한국,107.0,2004.0,"{""1"":711,""2"":5370,""3"":1108,""4"":12926,""5"":4051,""6"":40037,""7"":13820,""8"":51890,""9"":5927,""10"":25217}",낯 간지럽지 않게 순정을 말할 줄 아는 로맨틱코미디.
라디오 스타,3.0,3.48144,4.0,"284,091","4,047",874,이준익,"[김정아, 서소현, 박중훈]",12세 관람가,코미디,한국,115.0,2006.0,"{""1"":1113,""2"":6691,""3"":2122,""4"":20997,""5"":9336,""6"":82737,""7"":30300,""8"":90715,""9"":8716,""10"":31364}",쉽다. 깊다. 좋다. 마음을 가져간다.
달콤한 인생,3.0,3.88548,,"226,248","9,516","1,619",김지운,"[이병헌, 김영철, 신민아]",청소년 관람불가,범죄,한국,120.0,2005.0,"{""1"":492,""2"":3712,""3"":672,""4"":8830,""5"":3141,""6"":40288,""7"":18300,""8"":83840,""9"":13122,""10"":53851}",
인크레더블,4.0,3.73123,,"325,966","3,455","1,041",브래드 버드,"[크레이그 넬슨, 홀리 헌터, 제이슨 리]",전체 관람가,애니메이션,미국,121.0,2004.0,"{""1"":792,""2"":5881,""3"":1502,""4"":16629,""5"":7281,""6"":73450,""7"":31536,""8"":111723,""9"":14330,""10"":62842}",
우아한 세계,3.0,3.52045,3.0,"94,207","7,512",742,한재림,"[송강호, 박지영, 김소은]",15세 관람가,범죄,한국,112.0,2007.0,"{""1"":289,""2"":2203,""3"":500,""4"":6080,""5"":2621,""6"":27029,""7"":11098,""8"":30533,""9"":3026,""10"":10828}",뛰어난 배우 한 명이 한 작품에서 차지할 수 있는 비중의 극대치.
헝거게임: 캣칭 파이어,3.0,3.7584,,"173,080","13,726","2,257",프란시스 로렌스,"[제니퍼 로렌스, 조쉬 허처슨, 리암 헴스워스]",15세 관람가,판타지,미국,146.0,2013.0,"{""1"":940,""2"":2410,""3"":1462,""4"":6582,""5"":5928,""6"":30283,""7"":26558,""8"":53771,""9"":14255,""10"":30891}",
성냥팔이 소녀의 재림,1.0,1.2247,,"5,848",209,332,장선우,"[임은경, 현성, 김진표]",15세 관람가,액션,한국,125.0,2002.0,"{""1"":1661,""2"":2531,""3"":341,""4"":793,""5"":124,""6"":242,""7"":38,""8"":50,""9"":11,""10"":57}",
프롬 파리 위드 러브,3.0,3.13425,,"15,491","1,720",141,피에르 모렐,"[존 트라볼타, 조나단 리스 마이어스, 인 빙]",청소년 관람불가,액션,프랑스,94.0,2010.0,"{""1"":98,""2"":549,""3"":317,""4"":1861,""5"":1244,""6"":5099,""7"":1942,""8"":3219,""9"":272,""10"":890}",
BB 프로젝트,2.0,3.20857,,"29,584",571,140,진목승,"[성룡, 고천락, 응채아]",12세 관람가,액션,홍콩,108.0,2006.0,"{""1"":223,""2"":960,""3"":565,""4"":3298,""5"":1931,""6"":9652,""7"":3399,""8"":6758,""9"":567,""10"":2231}",
거룩한 계보,3.0,3.13547,,"41,742","1,717",289,장진,"[정재영, 정준호, 류승룡]",15세 관람가,액션,한국,126.0,2006.0,"{""1"":541,""2"":1745,""3"":964,""4"":5136,""5"":3249,""6"":12659,""7"":4719,""8"":8652,""9"":930,""10"":3147}",
자토이치,3.0,3.28769,4.5,"23,343","1,541",230,기타노 다케시,"[기타노 다케시, 아사노 타다노부, 오구스 미치요]",15세 관람가,액션,일본,116.0,2003.0,"{""1"":144,""2"":867,""3"":266,""4"":2291,""5"":1036,""6"":7180,""7"":2756,""8"":6656,""9"":624,""10"":1523}","기타노 다케시, 최고의 엔터테이너."
상하이 나이츠,2.0,3.16771,,"31,570",392,129,데이빗 돕킨,"[성룡, 오웬 윌슨, 톰 피셔]",12세 관람가,액션,"미국, 홍콩",110.0,2003.0,"{""1"":198,""2"":978,""3"":485,""4"":3637,""5"":2218,""6"":11219,""7"":3509,""8"":6966,""9"":445,""10"":1915}",
회사원,2.0,2.89357,,"117,535","2,865",920,임상윤,"[소지섭, 이미연, 곽도원]",청소년 관람불가,액션,한국,96.0,2012.0,"{""1"":3261,""2"":7575,""3"":4751,""4"":18766,""5"":10926,""6"":32820,""7"":11631,""8"":18240,""9"":2082,""10"":7483}",
콜래트럴,2.0,3.46082,,"28,480","3,368",432,마이클 만,"[톰 크루즈, 제이미 폭스, 브루스 맥길]",15세 관람가,범죄,미국,120.0,2004.0,"{""1"":71,""2"":523,""3"":159,""4"":1890,""5"":987,""6"":8542,""7"":4030,""8"":9063,""9"":1095,""10"":2120}",
크로우즈 제로 2,3.0,3.49094,,"54,905","1,631",280,미이케 다카시,"[오구리 슌, 야마다 타카유키, 카네코 노부아키]",청소년 관람불가,액션,일본,133.0,2009.0,"{""1"":702,""2"":2342,""3"":802,""4"":4522,""5"":2198,""6"":12237,""7"":5531,""8"":14716,""9"":2040,""10"":9815}",
턱시도,3.0,3.17908,,"98,968",483,391,케빈 도노반,"[성룡, 제니퍼 러브 휴이트, 제이슨 아이삭스]",15세 관람가,액션,미국,99.0,2002.0,"{""1"":581,""2"":2911,""3"":1617,""4"":11563,""5"":6823,""6"":34102,""7"":11761,""8"":21809,""9"":1774,""10"":6027}",
미션 임파서블 2,3.0,3.65701,,"142,270","2,190",683,오우삼,"[톰 크루즈, 더그레이 스콧, 탠디 뉴튼]",15세 관람가,액션,미국,123.0,2000.0,"{""1"":578,""2"":2389,""3"":1152,""4"":8217,""5"":4604,""6"":32449,""7"":14804,""8"":49203,""9"":4918,""10"":23956}",
취권,3.0,3.70643,,"82,211",895,438,원화평,"[성룡, 황정리, 원소전]",12세 관람가,액션,홍콩,107.0,1978.0,"{""1"":228,""2"":1599,""3"":354,""4"":3576,""5"":1564,""6"":18279,""7"":9134,""8"":31101,""9"":3434,""10"":12942}",
영웅 :  천하의 시작,5.0,3.51243,,"49,065","1,014",530,장예모,"[이연걸, 양조위, 장만옥]",15세 관람가,액션,중국,109.0,2002.0,"{""1"":168,""2"":1427,""3"":279,""4"":3499,""5"":1316,""6"":13320,""7"":5462,""8"":15846,""9"":2148,""10"":5600}",
트랜스포터 - 엑스트림,3.0,3.65099,,"66,035","1,977",254,루이스 리터리어,"[케이트 노타, 매튜 모딘, 제이슨 플레밍]",15세 관람가,액션,"프랑스, 미국",87.0,2005.0,"{""1"":192,""2"":1297,""3"":413,""4"":3740,""5"":1956,""6"":16697,""7"":6686,""8"":21039,""9"":2016,""10"":11999}",
와일드 카드,2.0,3.3757,,"62,294","1,064",254,김유진,"[정진영, 양동근, 한채영]",청소년 관람불가,액션,한국,114.0,2003.0,"{""1"":266,""2"":1843,""3"":592,""4"":5565,""5"":2510,""6"":18837,""7"":7126,""8"":18396,""9"":1637,""10"":5522}",
엽문 2,3.0,3.56924,,"79,968","1,040",313,엽위신,"[견자단, 홍금보, 황효명]",15세 관람가,액션,홍콩,108.0,2010.0,"{""1"":305,""2"":1717,""3"":591,""4"":5226,""5"":2813,""6"":20937,""7"":8881,""8"":24891,""9"":2670,""10"":11937}",
트랜스포터,3.0,3.73704,,"133,958","3,071",420,원규,"[제이슨 스타뎀, 서기, 프랑수아 벨레앙]",15세 관람가,액션,프랑스,92.0,2002.0,"{""1"":412,""2"":2080,""3"":646,""4"":6065,""5"":3175,""6"":30222,""7"":13892,""8"":46867,""9"":4968,""10"":25631}",
크로우즈 제로,4.0,3.48069,,"95,176","3,154",583,미이케 다카시,"[오구리 슌, 야베 쿄스케, 쿠로키 메이사]",15세 관람가,액션,일본,129.0,2007.0,"{""1"":1062,""2"":4822,""3"":1187,""4"":8541,""5"":3334,""6"":21096,""7"":8535,""8"":25776,""9"":3347,""10"":17476}",
닌자 어쌔신,2.0,2.55139,,"117,973",599,523,제임스 맥티그,"[정지훈, 쇼 코스기, 벤 마일즈]",청소년 관람불가,액션,"미국, 독일",98.0,2009.0,"{""1"":4423,""2"":15716,""3"":5027,""4"":26423,""5"":8774,""6"":32083,""7"":6366,""8"":13165,""9"":835,""10"":5161}",
오션스 일레븐,3.0,3.8856,,"122,243","1,991",324,올리비에 메가턴,"[제이슨 스타뎀, 나탈리아 루다코바, 프랑수아 벨레앙]",12세 관람가,액션,미국,116.0,2001.0,"{""1"":443,""2"":2482,""3"":718,""4"":7083,""5"":3442,""6"":29402,""7"":11439,""8"":38962,""9"":3973,""10"":24299}",
트랜스포터 - 라스트 미션,3.0,3.68131,,"213,870","11,830",863,스티븐 소더버그,"[조지 클루니, 맷 데이먼, 앤디 가르시아]",15세 관람가,액션,프랑스,103.0,2008.0,"{""1"":337,""2"":2117,""3"":550,""4"":6235,""5"":3263,""6"":39063,""7"":21868,""8"":83079,""9"":11186,""10"":46172}",
본 레거시,4.0,3.39774,,"116,419","5,155",892,토니 길로이,"[제레미 레너, 에드워드 노튼, 레이첼 와이즈]",15세 관람가,액션,미국,135.0,2012.0,"{""1"":1062,""2"":4152,""3"":1570,""4"":11218,""5"":5816,""6"":30840,""7"":11228,""8"":31319,""9"":3227,""10"":15987}",
아드레날린 24,2.0,3.47059,,"98,031","2,560",518,브라이언 테일러,"[제이슨 스타뎀, 에이미 스마트, 호세 파블로 칸틸로]",청소년 관람불가,액션,"영국, 미국",86.0,2006.0,"{""1"":592,""2"":3383,""3"":933,""4"":8683,""5"":3290,""6"":26200,""7"":9018,""8"":29063,""9"":2451,""10"":14418}",
바람의 파이터,3.0,3.1457,,"147,447",722,329,양윤호,"[양동근, 히라야마 아야, 가토 마사야]",12세 관람가,액션,한국,120.0,2004.0,"{""1"":1334,""2"":7199,""3"":2542,""4"":20871,""5"":7914,""6"":47406,""7"":12024,""8"":33258,""9"":2463,""10"":12436}",
아라한 장풍대작전,3.0,2.89316,,"232,742",622,748,류승완,"[류승범, 윤소이, 안성기]",12세 관람가,액션,한국,114.0,2004.0,"{""1"":4710,""2"":18140,""3"":6261,""4"":39288,""5"":15515,""6"":72791,""7"":19817,""8"":41369,""9"":2684,""10"":12167}",
킬 빌 - 1부,5.0,3.73893,4.5,"224,403","8,005","1,786",쿠엔틴 타란티노,"[우마 서먼, 루시 리우, 비비카 A. 폭스]",청소년 관람불가,액션,미국,110.0,2003.0,"{""1"":1040,""2"":6406,""3"":1343,""4"":13673,""5"":4460,""6"":43303,""7"":18378,""8"":74836,""9"":13797,""10"":47167}",취향 자체가 최고의 무기가 된 사례.
엽문,3.0,3.70585,,"163,441","1,864",568,엽위신,"[견자단, 웅대림, 임달화]",12세 관람가,액션,홍콩,106.0,2008.0,"{""1"":483,""2"":3771,""3"":725,""4"":8917,""5"":3269,""6"":37521,""7"":14600,""8"":56720,""9"":6352,""10"":31083}",
호빗: 스마우그의 폐허,4.0,3.80367,,"162,063","9,232","2,354",피터 잭슨,"[베네딕트 컴버배치, 마틴 프리먼, 이안 맥켈런]",12세 관람가,판타지,"미국, 뉴질랜드",161.0,2013.0,"{""1"":829,""2"":2164,""3"":1122,""4"":5833,""5"":4951,""6"":27169,""7"":23248,""8"":51827,""9"":13236,""10"":31684}",
