0.5,1,1.5,2,2.5,3,3.5,4,4.5,5
443,718,2482,3442,7083,11439,29402,3973,38962,24299
337,550,2117,3263,6235,21868,39063,11186,83079,46172
1062,1570,4152,5816,11218,11228,30840,3227,31319,15987
592,933,3383,3290,8683,9018,26200,2451,29063,14418
1334,2542,7199,7914,20871,12024,47406,2463,33258,12436
4710,6261,18140,15515,39288,19817,72791,2684,41369,12167
1040,1343,6406,4460,13673,18378,43303,13797,74836,47167
483,725,3771,3269,8917,14600,37521,6352,56720,31083
829,1122,2164,4951,5833,23248,27169,13236,51827,31684
3193,2979,4722,2783,6475,983,3977,120,870,311
425,621,772,3724,2412,18398,13730,11070,26978,14557
267,373,924,418,1839,183,1368,20,372,77
333,486,1254,497,1986,125,1197,11,266,82
95,153,628,609,1693,2182,6279,764,8119,4104
416,605,1885,1672,4288,3636,11018,1142,12172,5466
1042,1570,5263,8259,14327,38596,79718,19206,127502,98688
844,1318,4107,6584,12273,37118,71414,22672,152547,114468
867,1565,4534,7888,15482,41481,90523,16575,146969,76895
1319,2555,8019,7677,21677,9403,45733,1423,25860,10472
541,779,2849,3972,8416,27982,51480,18486,110929,74279
1525,2560,5882,9271,17318,22961,61581,7051,72778,41407
791,1996,4656,8194,16832,14629,50544,2696,38499,13741
1029,2502,5688,11941,23586,26300,80392,5272,68831,25211
545,777,3416,3428,8794,20949,42701,18223,92983,61354
1478,2232,9040,10381,23229,33888,89694,13518,115309,92558
1254,2751,8670,13502,29743,54278,122449,25304,170146,96428
322,461,1165,484,2002,205,1533,16,377,65
804,1587,2245,3573,6349,2850,9383,350,3693,978
1041,1206,3595,1366,5176,701,4440,80,1581,506
999,1148,2866,2465,5256,4200,10433,1935,10382,6784
310,654,2180,2690,6254,7370,19571,2527,19274,7097
496,1050,4420,3198,9500,4307,20117,683,11009,3767
272,461,2569,2180,5578,9601,19541,6146,29628,17984
937,1412,5037,4742,10854,13241,33071,6226,42346,28215
676,1011,4366,4585,12245,18817,52023,8729,75963,41602
822,1101,5393,4016,11479,16596,40739,13260,71663,65909
42,78,421,420,878,1331,3518,329,3707,1072
100,196,658,1035,2018,3098,6885,1006,7895,2424
5373,6934,18924,12551,33577,9874,39826,1439,16838,5807
4689,6422,16578,15255,35044,19926,67570,4697,47113,22242
243,702,2294,3644,7332,10206,26083,1884,21955,5301
724,1158,3995,5277,10541,15576,34495,4923,36400,12982
360,499,2952,2283,6689,9270,22634,6542,33243,19798
581,567,2778,2628,5893,21145,36866,27075,117997,102112
324,396,2623,2030,4788,12245,19876,8897,38057,19929
1532,2733,8508,9128,22869,15500,52786,3983,43809,16532
4054,4676,20179,10318,35864,12025,58259,2634,39045,20309
524,747,4565,3561,10375,18814,42932,11162,78580,41898
1527,2701,4950,14099,16756,66892,88687,35320,160974,73378
111,182,1202,833,2234,4549,8945,2877,16588,7862
1181,2846,4895,12631,21073,27955,70146,6609,65740,25653
148,291,1393,1261,3616,6894,14192,4272,25425,11732
1028,1319,4822,4662,11537,20371,38363,19329,76006,50326
849,1028,4328,3841,9684,8575,22726,2951,23272,10245
1210,1563,2939,2464,5582,1740,6276,216,2354,720
901,2046,5144,9385,16585,24708,52663,7402,49353,24738
207,344,982,822,2082,874,3476,162,1922,901
2396,2012,6281,2590,8486,1414,8524,128,3065,928
1666,2224,3925,4317,7599,3167,10866,446,4101,1532
