name,이동진 별점,이동진 코멘트
김예슬,4.5,병맛과 신선함은 한 끗차이
G군,0.5,틀에 박힌 김수로의 연기.
조은호,4.0,"그냥 총싸움하는영화가아니엇다 
다이아를원하는여자에게보여주고싶다"
Min Jae Octavianus,3.0,조진웅씨의 포텐은 여기서도 터졌지
suzwan,5.0,최민식때문에 봣다가 류승범한테 얻어맞는 영화
이동진 평론가,4.5,타란티노 작품들은 멋진 영화와 끝내주는 영화로 나뉜다. 이번엔 후자.
샴푸요정,2.5,역기들다가 똥 지리는 장면은 아직도 생생함 젠장 이런거만 생생하네
오드헉 네이버블러그wooju91111,4.0,장국영과 왕조현의 목욕통에서 키스신은 지금 영화에서도 볼 수없는 명장면이다
목표는 영화 10000편 보기,3.5,"강렬했던 마지막 문구가 기억에 남는다. 그들이 외쳤던, 그리고 우리가 살아가고 있는 &#x27;무전유죄, 유전무죄&#x27;의 사회속에서 수년이 지난 오늘날까지도 &#x27;아직도 좌절의 시대는 끝나지 않았다&#x27;."
이동진 평론가,4.5,숲을 이루지 못한 꽃은 외롭고 숲을 이룬 꽃은 시든다.
이동진 평론가,4.5,내가 본 최고의 야구(소재)영화.
ksh,3.5,"빨리 빨리 움직여라 굼벵이들아,  영원히 살것도 아니잖나"
해바라기,2.5,"세련되지 않은 전형성. 배우들의 스타일리시함으로 커버하려 했으나 역부족, 오히려 배우들이 어설퍼보이기도 한다.
한번 듣기는 좋은 고속도로 뽕짝믹스테잎같다."
최성균,2.5,"오리지널 토탈리콜의 명장면들은 지금도 방송에서 계속해서 회자될 정도인데, 이 영화는 토탈리콜을 그저 그런 SF 영화로 만들어버렸다"
목표는 영화 10000편 보기,3.0,"사랑하는 사람을 위해 당신은 어디까지 갈 수 있는가.

네이버 웹툰 &lt;나는 너를 보았다&gt; 中에서"
Jong Hyun Chung,5.0,"일부 비평가들은 너무 영상미에 집중했다고 하지만, 나는 오히려 화려한 스크린의 모습과 개츠비의 비극적인 삶이 완벽히 대조되면서 그 비극성을 강조했다고 본다. 연기도 연출도 훌륭했다"
연정k,2.0,과소평가 당했다는 이유로 과대평가받는듯한 느낌적인 느낌
이종욱,3.0,"티렉스와 랩터를 적극 활용해 서스펜스를 강화시키긴 했지만, 후반으로 갈수록 연출력에 힘이 빠지는게 느껴진다."
임상혁,5.0,"누가 인내를 달라고 기도하면 신은 
그 사람에 게 인내심을 줄까요? 
아니면 인내를 발휘할 수 있는 
기회를 주시려 할까요?
이부분에서 많은생각을 하게된 영화였습니다!"
에치양,2.5,&#x27;복면달호&#x27; 라는 제목과 &#x27;트로트&#x27; 라는 소재만 듣고 그 자리에서 영화 스토리를 정확하게 읊은 친구가 생각난다 ㅋ 아주아주 정확했어...
쿠퍼쿠퍼,4.0,2까지는 명작이네
신신,5.0,"X의 개입으로 
답은 아름답게 완성된다."
럭키어,4.0,cant fight the moonlight 이 노래가 영원히 기억될 영화
뇨끼,4.0,부모를 찾아나선 고아들에게 다가온 이토록 섬뜩한 예감
한슬,4.0,감독도 쥐닮았땅
홍성호,3.0,이 시리즈가 장수할 수 있었던 것은 다람쥐덕분.
SkyWave,5.0,실제 이야기를 실제 부자가 연기했기에 더 가슴에 와닿지 않았을까. 아들을 가진 아버지라면 공감하지 않을 수 없는 가슴 절절한 실화의 힘. 윌 스미스의 눈부신 연기에 경의를 표함.
김성호 영화팬,3.0,"그들이 주유소를 습격하는데는 아무런 이유가 없었고 내가 이 영화를 본 것도 아무 이유가 없었으니 서로가 잘 된거지, 뭐."
진승환,3.0,소행성이 터지고 모두가 환호할때 난 웃지 못 했다 부르스 윌리스가 죽었기 때문에
Abby Ghana Lee,4.0,스산하고 음산하지만 가슴 찡한 이야기도 있는 팀버튼 스타일 웰메이드 애니메이션
스따벅스,5.0,이 이상의 코믹 쿵후 영화는 없는듯 봐도봐도 지겹지 않는 희한한 중독성 있는 영화
메아리,5.0,"한국 로맨틱 코미디 영화의 고질적인 단점인 억지웃음, 억지감동, 억지전개가 없어서 정말 좋은 부드러운 영화. 영상미가 아름답고 달달한 알찬 영화다"
김상민,5.0,스텝업의 진리는 1편이 아닐까?
왓차녀,4.0,너무 좋다. 특히 우디 고쳐주는 장면 아기자기해서 몇 번이나 돌려봤는지ㅋㅋㅋ
이석우,4.0,마스크 + 짐 캐리 = 미쳐 날뛰고 있습니다
김태홍,3.0,"아역인지, 악역인지."
김준형,5.0,부모님이 나에게 보여주셨던 것 처럼 나도 내 자식에게 보여주고 싶은 영화.
Sophia Q,4.0,내장의 평화 = Inner Peace
백종현,4.5,쥐새끼가 요리하는 게 이렇게 맛있어보일 줄은 몰랐어요
김광현,5.0,내가나온다
이준희,4.0,어벤져스의 각 영화들은 로봇마냥 각각맡고있는 부품마냥 파츠가있다.  예를들어토르는판타지  아이언맨은 sf라든지 그런면에서 캡틴아메리카는 좀더 정치적이고 철학적화두를던진다
HoSeok Lee,5.0,스필만은 영화 내내 도망친다.  그러나 독일 장교 앞의 피아노에 앉았을때 그는 쇼팽을 연주한다. 폴란드의 영웅시를 연주함으로써 그는 가장 고귀한 긍지를 보여준다.
서동녘,3.0,뭐 그냥 이정재가 섹시했다
