name,이동진 별점,이동진 코멘트
이수진,5.0,살인을 추억이라 생각하는 자. 그 자가 바로 범인이다
이동진 평론가,5.0,덕분에 지난 3년간 행복했습니다.
목표는 영화 10000편 보기,4.0,CG는 조금 빈약하지만 영화가 개봉한 지 17년이 지난 오늘날까지도 충분히 세련되고 품위를 유지할 수 있는 작품.
파일로밴스,5.0,영화는 확실히 시간이 지나고 나서 본사람의 평가는 절하되는 경향이 있다ㅡ그치만 그당시엔 적어도 내가알고있는 남자들은 친구대사를 줄줄이 외우고 다녔고 동수가 몇번찔린거까지 세어봤다
Damian Jeon DongHyun,5.0,"한국사람들이 좋아할 만한 모든 요소를 가지고 있다. 군대 음모 북한....
그러나 내가 이 영화에 5개의 별점을 준 건 허준호가 사탕을 떨어뜨리는 장면을 잊을수가 없기 때문이다."
-채여니 영화평-,5.0,미국에 살고있는데 역사시간때 이 영화를 나랑 친구가 적극추천해서 영어자막틀고 다같이봄. 다인종 친구들 다같이엄청움. 백인선생님 감동해서 그날 디비디 바로삼ㅋㅋㅋㅋ그리고 다들 원빈찬양ㅋㅋㅋ 한 다섯번은본듯
조2랑,1.5,원빈 영상화보에 총알파티 끼얹음
이동진 평론가,4.0,장중하고 우아한 마무리.
신현영,5.0,팝콘비 장면은 아직도 생생하다
김서연,1.0,오마쥬도 아닌 짝퉁. 여느 하나 가위손을 따라하지 않은게 없더군. 없는 연출력 쥐어짜 따라했을 노고에 별 한개 드립니다..
SJ,3.5,동서양의 조화를 이룬 김치웨스턴. 아주 맛있진 않지만 색다르다.
이동진 평론가,4.0,무엇보다 탁월한 캐릭터 코미디.
이동진 평론가,4.0,한국 액션영화의 새로운 이정표.
김성호 영화팬,3.0,춘화의 경제력을 통해 나머지 멤버들이 처한 문제를 한 순간에 해결하는 억지스러운 결말이 몹시도 마음에 들지 않았지만 단점보다 장점이 훨씬 많은 영화임을 부정할 수는 없다.
이동진 평론가,2.0,과유불급(過猶不及).
김경찬,4.0,"가장 기억에 남는 건
선수들이점프할 때 나오는 OST"
PKS,1.0,"끊임없이 강요한다.
이래도 안웃겨? 
이래도 안슬퍼?
이래도 감동적이지않아?
이래도?
이래도?!
이래도?!?!"
이혜진,5.0,봉준호는 대중과 가까운 천재다 
김진수 평론가,5.0,다른건 모르겠고 난 박보영이 좋아. 거기다가 노래도 부르잖아. 그럼 끝이지.
왓차녀,5.0,이게 진짜 천만영화지. 초등학생 땐 뭣도 모르고 봤었는데 좀 크고 보니 진짜 수작이라고 느낌 이 영화 결말이 알려주는 의미는 기가 막힘
박주영,5.0,"내가 스마트폰으로 지금당장 찍어 만드는 영화도 이병헌이 연기하면 돈받고 내걸수있을정도.
이보다 더 잘할수 있는가?"
kkrrrr,2.0,"여기서 웃으세요, 여기선 울어야죠. 자 이제 화냅시다."
심세훈,3.5,"이때부터 한국 천만 영화가
꼬이기 시작한 듯.."
김미은,3.0,니가그러케 따움잘해?옥땅으로 따라와
이동진 평론가,1.5,갓 제대한 학도병들이 만든 영화 같다.
신현영,5.0,"&#x27;샘 레이미&#x27;의 스파이더맨
진정한 영웅철학을 보여주는 시리즈의 결정판."
JM.Y,5.0,평생을 그리워하고 또 그리워할 애니메이션.
가키레나,5.0,감독판 엔딩으로 나왔더라면 완성도 있는 영화로써 더 사랑 받았을 지도.. 엔딩씬보고 모든 고리들이 연결 될 때 놀라웠다 첫째 둘째도 사산아 였다는걸 감안할때 굴레가 계속 된 걸까?
원뉴,4.5,누가 미친놈일까 추리하다 내가 미친놈이 되는 기분
클린트옹,5.0,&quot;오늘 못볼지모를니까 미리인사하죠 굿애프터눈 굿이브닝 굿나이트&quot;
이다예,0.5,진짜 별로...
April Byeon,4.5,"“&lt;공동경비구역 JSA&gt;는 21세기에서 가장 멋있는 엔딩이다.”

-쿠엔틴 타란티노"
KCH,4.0,여자죽고 더재밌어졌다
NY,1.0,강동원 고수가 나와도 용서가 안됨
이동진 평론가,3.0,캐릭터의 약점을 영화의 장점으로 바꾸는 솜씨.
이동진 평론가,3.5,한바탕의 신나는 난장을 만들어내는 유희정신.
이동진 평론가,4.5,사랑은 꼭 그 사람일 필요가 없는 우연을 반드시 그 사람이어야만 하는 운명으로 바꾸는 것.
christmascactus,5.0,이 영화 때문에 내가 평가한 다른 영화들의 평점을 하나씩 내려야만 하는 참사가 일어났다
이동진 평론가,4.5,"눈의 잔상과 편지의 이명, 끝내 남아 있는 사랑의 흔적들."
Damian Jeon DongHyun,5.0,조폭영화를 끔찍히 싫어하지만 만든다면 제발 이렇게 만들어라. 이곳에서의 조폭은 영웅이 아니다. 당시의 상황을 제대로 표현하고 배우들의 연기가 최고로 어우러진 진.짜.조폭영화.
jsp,4.5,앤 해서웨이가 정말 예쁘게 나오는 영화 차차 변해가는 과정이 재밌음
이동진 평론가,3.5,158분을 달리고도 소진되지 않는 에너지.
최영훈,5.0,"로봇액션물을 표방하는 이 영화의 본질은 따뜻한 가족영화다.
양머리를 걸고 개고기를 파는 영화.
하지만 그 개고기는 너무나 훌륭하고 감동적이다."
한준,5.0,"레옹은 부족한 영화다. 
인간들만 보기에는... 
개인적으로 강아지들도 봤으면 좋겠다."
niknik,5.0,한국 스릴러라는 점을 감안했을때 이정도의 스토리라인과 연출이면 충분히 수작으로 평가받을만하다.
김준형,4.0,도대체 누가 장애인인걸까. 열심히 달리면서 행복하다고 하는 주인공일까? 아니면 나태한 나일까?
신한나,4.0,우산이 있는데 비를 맞는 사람이 어디 저 하나뿐인가요?
신현영,4.5,"수트를 벗었을 때 빛이 나면
비로소 진정한 영웅이 된게 아닐까."
이환희,3.0,지금 개봉했으면 감독 철컹철컹했을 영화
이알미,5.0,"당시 커플이 이영화 같이보면
남잔 막 웃으면서 재밌다고 하며 극장 나오고 
여잔 울었거나 착찹한 맘으로 나온다는 얘기가 있었다

정말 관심따위가 뭐라고..  ㅠ 이백퍼센트 공감"
