,title,rating(y),avg_rating,lee_rating,eval_count,wish_count,cmt_count,run_time,year,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,text
38,데드풀,3.0,3.78549,3.0,45252.0,9342.0,6013.0,106.0,2016.0,142,218,174,1517,736,12081,5700,6450,14461,3773,팀밀러 라이언레이놀즈 모레나바카린 에드스크레인 청소년관람불가 액션 미국
39,키리시마가 동아리활동 그만둔대,4.0,3.64451,4.0,8465.0,6900.0,945.0,103.0,2013.0,59,80,243,330,355,1738,1142,1215,2571,732,요시다다이하치 카미키류노스케 하시모토아이 오고스즈카 15세관람가 드라마 일본
40,비포 선라이즈,4.0,4.03776,,149589.0,29655.0,2247.0,100.0,1995.0,412,489,3055,1758,5108,10359,19684,12853,47092,48779,리처드링클레이터 에단호크 줄리델피 안드레아에커트 15세관람가 로맨스 멜로 오스트리아 미국
41,초속 5센티미터,5.0,3.69382,,112045.0,14999.0,1655.0,62.0,2007.0,737,1014,3258,3367,7007,11377,21699,7024,33027,23535,신카이마코토 미즈하시켄지 하나무라사토미 전체관람가 애니메이션 일본
42,나를 찾아줘,3.0,3.9742,,135876.0,19361.0,9132.0,145.0,2014.0,432,566,682,2951,2110,22818,10930,29609,48228,17550,데이빗핀처 벤애플렉 로자먼드파이크 닐패트릭해리스 청소년관람불가 스릴러 미국
43,미드나잇 인 파리,4.0,3.90653,,174743.0,36521.0,3652.0,94.0,2011.0,540,755,2954,3172,6454,18714,25473,18028,58835,39818,우디앨런 오웬윌슨 마리옹꼬띠아르 레이첼맥아담스 15세관람가 로맨틱 코미디 미국 스페인
44,그랜드 부다페스트 호텔,5.0,4.01767,4.0,170189.0,31085.0,6945.0,100.0,2014.0,718,935,1270,3827,3370,23133,16429,31862,52551,36094,웨스앤더슨 랄프파인즈 토니레볼로리 에드워드노튼 청소년관람불가 드라마 미국 독일 영국
45,매드 맥스: 분노의 도로,4.0,4.04374,,197228.0,8501.0,12132.0,120.0,2015.0,1490,1349,2309,4766,4364,24116,16571,40299,53565,48399,조지밀러 톰하디 샤를리즈테론 니콜라스홀트 15세관람가 액션 오스트레일리아 미국
46,엣지 오브 투모로우,3.0,3.96296,,225267.0,10714.0,6440.0,113.0,2014.0,502,941,1003,5231,3334,40654,22810,37065,75987,37740,더그라이만 톰크루즈 에밀리블런트 샤롯라일리 12세관람가 액션 미국
47,쥬라기 공원,4.0,3.87411,,188541.0,2363.0,962.0,123.0,1993.0,461,649,3089,2662,7525,14736,35468,10963,67778,45210,스티븐스필버그 샘닐 로라던 제프골드브럼 12세관람가 SF 미국
48,엑스맨: 데이즈 오브 퓨처 패스트,4.0,4.03755,4.0,202434.0,8062.0,4601.0,134.0,2014.0,547,721,946,4252,2902,28999,20105,31665,67366,44931,브라이언싱어 휴잭맨 제임스맥어보이 마이클패스벤더 12세관람가 액션 미국
49,노인을 위한 나라는 없다,4.0,3.91386,,126654.0,31862.0,2657.0,122.0,2007.0,459,523,3318,1799,6086,9158,18620,12849,40236,33606,조엘코엔 하비에르바르뎀 토미리존스 조슈브롤린 청소년관람불가 스릴러 미국
