DESC,감독,배우,평가자수,보고싶어요수,코멘트수,별점분포
"The Notebook, 2004, 미국, 로맨스/멜로, 드라마, 15세 관람가, 2시간 3분",닉 카사베츠,"[라이언 고슬링, 레이첼 맥아담스, 제임스 마스던]","275,127","35,005","2,430","{""1"":758,""2"":4492,""3"":1046,""4"":9990,""5"":4240,""6"":40417,""7"":20103,""8"":83723,""9"":20530,""10"":89828}"
"ROARING CURRENTS, 2014, 한국, 액션, 드라마, 15세 관람가, 2시간 8분",김한민,"[최민식, 류승룡, 조진웅]","299,663","7,434","10,269","{""1"":3522,""2"":4398,""3"":4778,""4"":13293,""5"":17958,""6"":48078,""7"":51974,""8"":69187,""9"":33657,""10"":52818}"
"Deadpool, 2016, 미국, 액션, 청소년 관람불가, 1시간 46분",팀 밀러,"[라이언 레이놀즈, 모레나 바카린, 에드 스크레인]","45,252","9,342","6,013","{""1"":142,""2"":174,""3"":218,""4"":736,""5"":1517,""6"":5700,""7"":12081,""8"":14461,""9"":6450,""10"":3773}"
"The Kirishima Thing, 2013, 일본, 드라마, 15세 관람가, 1시간 43분",요시다 다이하치,"[카미키 류노스케, 하시모토 아이, 오고 스즈카]","8,465","6,900",945,"{""1"":59,""2"":243,""3"":80,""4"":355,""5"":330,""6"":1142,""7"":1738,""8"":2571,""9"":1215,""10"":732}"
"Before Sunrise, 1995, 오스트리아, 미국, 로맨스/멜로, 드라마, 15세 관람가, 1시간 40분",리처드 링클레이터,"[에단 호크, 줄리 델피, 안드레아 에커트]","149,589","29,655","2,247","{""1"":412,""2"":3055,""3"":489,""4"":5108,""5"":1758,""6"":19684,""7"":10359,""8"":47092,""9"":12853,""10"":48779}"
"秒速 5センチメ-トル, 2007, 일본, 애니메이션, 로맨스/멜로, 전체 관람가, 1시간 2분",신카이 마코토,"[미즈하시 켄지, 하나무라 사토미]","112,045","14,999","1,655","{""1"":737,""2"":3258,""3"":1014,""4"":7007,""5"":3367,""6"":21699,""7"":11377,""8"":33027,""9"":7024,""10"":23535}"
"Gone Girl, 2014, 미국, 스릴러, 청소년 관람불가, 2시간 25분",데이빗 핀처,"[벤 애플렉, 로자먼드 파이크, 닐 패트릭 해리스]","135,876","19,361","9,132","{""1"":432,""2"":682,""3"":566,""4"":2110,""5"":2951,""6"":10930,""7"":22818,""8"":48228,""9"":29609,""10"":17550}"
"Midnight In Paris, 2011, 미국, 스페인, 로맨틱 코미디, 판타지, 15세 관람가, 1시간 34분",우디 앨런,"[오웬 윌슨, 마리옹 꼬띠아르 , 레이첼 맥아담스]","174,743","36,521","3,652","{""1"":540,""2"":2954,""3"":755,""4"":6454,""5"":3172,""6"":25473,""7"":18714,""8"":58835,""9"":18028,""10"":39818}"
"The Grand Budapest Hotel, 2014, 미국, 독일, 영국, 드라마, 코미디, 청소년 관람불가, 1시간 40분",웨스 앤더슨,"[랄프 파인즈, 토니 레볼로리, 에드워드 노튼]","170,189","31,085","6,945","{""1"":718,""2"":1270,""3"":935,""4"":3370,""5"":3827,""6"":16429,""7"":23133,""8"":52551,""9"":31862,""10"":36094}"
"Mad Max: Fury Road, 2015, 오스트레일리아, 미국, 액션, 스릴러, 15세 관람가, 2시간 ",조지 밀러,"[톰 하디, 샤를리즈 테론, 니콜라스 홀트]","197,228","8,501","12,132","{""1"":1490,""2"":2309,""3"":1349,""4"":4364,""5"":4766,""6"":16571,""7"":24116,""8"":53565,""9"":40299,""10"":48399}"
